Time (s),Altitude (m),VerticalSpeed (m/s),HorizontalSpeed (m/s)
131.675,47874.484,233.135,1514.048
131.778,47902.424,232.677,1516.372
131.892,47925.668,232.336,1518.308
131.996,47953.515,231.928,1520.634
132.115,47981.311,231.480,1522.963
132.235,48004.433,231.096,1524.905
132.337,48032.129,230.656,1527.237
132.473,48059.774,230.247,1529.570
132.577,48087.371,229.832,1531.906
132.692,48110.329,229.461,1533.854
132.795,48137.828,229.008,1536.193
132.915,48165.274,228.587,1538.534
133.036,48192.672,228.192,1540.877
133.154,48215.468,227.850,1542.831
133.256,48242.775,227.411,1545.178
133.372,48265.490,227.044,1547.135
133.475,48292.702,226.634,1549.485
133.596,48319.867,226.247,1551.837
133.716,48346.984,225.838,1554.191
133.835,48369.542,225.469,1556.154
133.937,48396.563,225.034,1558.512
134.056,48423.536,224.651,1560.872
134.177,48450.463,224.276,1563.233
134.294,48472.866,223.930,1565.202
134.395,48499.703,223.501,1567.568
134.516,48526.490,223.094,1569.935
134.632,48553.231,222.722,1572.304
134.755,48579.926,222.341,1574.675
134.876,48606.573,221.919,1577.048
134.996,48633.170,221.497,1579.423
135.118,48659.718,221.120,1581.800
135.233,48681.808,220.818,1583.782
135.335,48708.275,220.432,1586.163
135.456,48734.694,220.021,1588.546
135.576,48761.063,219.624,1590.931
135.692,48783.003,219.319,1592.919
135.794,48800.534,219.081,1594.511
135.903,48831.165,218.635,1597.299
136.019,48857.368,218.224,1599.691
136.142,48883.522,217.835,1602.085
136.261,48909.633,217.483,1604.481
136.382,48935.701,217.124,1606.879
136.498,48957.391,216.802,1608.879
136.599,48983.374,216.404,1611.281
136.721,49004.992,216.093,1613.284
136.822,49030.895,215.757,1615.689
136.938,49056.756,215.402,1618.096
137.062,49082.571,215.002,1620.506
137.178,49104.048,214.676,1622.516
137.281,49125.493,214.386,1624.526
137.383,49151.191,214.052,1626.941
137.503,49176.848,213.694,1629.358
137.622,49202.460,213.312,1631.777
137.739,49223.769,213.005,1633.794
137.842,49249.300,212.667,1636.217
137.961,49274.792,212.334,1638.641
138.081,49300.243,211.971,1641.068
138.201,49325.648,211.592,1643.497
138.322,49351.009,211.245,1645.928
138.442,49376.331,210.927,1648.361
138.558,49397.403,210.649,1650.390
138.661,49422.651,210.287,1652.827
138.782,49447.855,209.926,1655.266
138.898,49473.017,209.598,1657.706
139.020,49493.958,209.339,1659.742
139.123,49519.050,209.004,1662.186
139.240,49539.928,208.697,1664.226
139.342,49564.942,208.341,1666.674
139.459,49589.916,208.036,1669.125
139.577,49610.701,207.788,1671.168
139.681,49631.459,207.507,1673.213
139.784,49656.330,207.154,1675.669
139.899,49681.159,206.822,1678.128
140.021,49705.951,206.521,1680.588
140.143,49730.707,206.213,1683.050
140.263,49755.425,205.873,1685.515
140.381,49780.100,205.531,1687.982
140.499,49804.737,205.228,1690.450
140.618,49825.241,204.989,1692.509
140.721,49849.813,204.680,1694.981
140.841,49874.346,204.344,1697.456
140.961,49894.759,204.074,1699.520
141.062,49919.222,203.782,1701.999
141.182,49943.651,203.499,1704.479
141.302,49968.044,203.186,1706.962
141.421,49992.398,202.858,1709.447
141.541,50012.664,202.602,1711.520
141.644,50036.952,202.333,1714.008
141.759,50057.167,202.108,1716.083
141.862,50081.393,201.791,1718.577
141.977,50101.551,201.521,1720.656
142.083,50125.708,201.234,1723.153
142.203,50149.832,200.974,1725.651
142.325,50173.924,200.693,1728.152
142.444,50197.980,200.380,1730.655
142.562,50217.998,200.130,1732.743
142.663,50237.993,199.907,1734.832
142.766,50261.958,199.653,1737.340
142.884,50281.906,199.424,1739.433
142.987,50305.810,199.120,1741.946
143.106,50329.678,198.830,1744.461
143.221,50349.543,198.616,1746.559
143.323,50369.388,198.418,1748.657
143.426,50393.174,198.147,1751.178
143.541,50412.969,197.896,1753.281
143.645,50436.691,197.617,1755.806
143.765,50460.382,197.378,1758.332
143.886,50484.045,197.137,1760.861
144.004,50503.741,196.904,1762.971
144.106,50527.343,196.617,1765.504
144.226,50550.913,196.362,1768.040
144.345,50574.455,196.134,1770.577
144.466,50597.968,195.889,1773.116
144.585,50617.539,195.661,1775.235
144.687,50640.993,195.393,1777.779
144.806,50664.418,195.158,1780.325
144.922,50683.918,194.974,1782.448
145.026,50703.399,194.776,1784.573
145.127,50726.747,194.505,1787.125
145.247,50750.063,194.245,1789.680
145.366,50773.351,194.028,1792.236
145.486,50796.614,193.817,1794.794
145.601,50815.979,193.615,1796.928
145.704,50835.322,193.392,1799.064
145.808,50858.506,193.152,1801.629
145.927,50881.664,192.949,1804.195
146.066,50908.650,192.702,1807.192
146.185,50927.903,192.488,1809.335
146.287,50950.978,192.240,1811.909
146.405,50974.026,192.033,1814.485
146.522,50993.214,191.874,1816.633
146.626,51016.218,191.657,1819.212
146.747,51039.195,191.415,1821.795
146.862,51058.319,191.227,1823.949
146.965,51081.246,191.033,1826.535
147.086,51104.151,190.843,1829.123
147.204,51127.032,190.624,1831.714
147.326,51149.884,190.394,1834.308
147.442,51172.710,190.193,1836.903
147.566,51195.515,190.016,1839.500
147.681,51214.502,189.857,1841.667
147.786,51237.264,189.639,1844.269
147.903,51259.999,189.424,1846.874
148.024,51278.926,189.270,1849.045
148.126,51301.621,189.106,1851.653
148.243,51320.518,188.953,1853.829
148.345,51343.170,188.734,1856.442
148.467,51365.798,188.531,1859.057
148.584,51388.404,188.372,1861.674
148.702,51410.991,188.214,1864.293
148.827,51433.557,188.016,1866.915
148.946,51456.098,187.809,1869.540
149.065,51478.617,187.641,1872.166
149.183,51501.117,187.498,1874.794
149.306,51523.599,187.328,1877.426
149.422,51542.316,187.161,1879.620
149.527,51564.756,186.979,1882.256
149.647,51587.177,186.833,1884.894
149.767,51609.580,186.689,1887.533
149.884,51631.964,186.514,1890.176
150.007,51654.327,186.331,1892.821
150.127,51676.669,186.179,1895.468
150.245,51698.994,186.048,1898.117
150.367,51721.303,185.897,1900.769
150.484,51736.165,185.782,1902.539
150.740,51762.151,185.591,1905.638
150.845,51780.698,185.479,1907.853
150.949,51802.940,185.352,1910.513
151.069,51825.165,185.205,1913.176
151.190,51847.372,185.045,1915.842
151.305,51865.863,184.925,1918.065
151.409,51888.039,184.804,1920.734
151.527,51910.200,184.681,1923.406
151.644,51928.656,184.562,1925.635
151.746,51947.099,184.434,1927.865
151.849,51969.215,184.305,1930.544
151.969,51991.317,184.200,1933.224
152.089,52009.726,184.102,1935.460
152.191,52028.124,183.988,1937.697
152.305,52050.186,183.853,1940.385
152.415,52072.233,183.740,1943.074
152.534,52094.268,183.638,1945.766
152.655,52116.290,183.523,1948.461
152.773,52138.297,183.396,1951.158
152.893,52156.624,183.301,1953.407
152.995,52178.607,183.204,1956.108
153.112,52196.917,183.125,1958.361
153.214,52215.218,183.036,1960.616
153.316,52237.167,182.920,1963.324
153.431,52255.448,182.832,1965.583
153.534,52277.375,182.748,1968.295
153.650,52295.639,182.676,1970.557
153.754,52313.896,182.592,1972.821
153.856,52335.793,182.489,1975.540
153.970,52357.678,182.401,1978.261
154.095,52379.553,182.324,1980.984
154.215,52401.419,182.241,1983.711
154.335,52423.275,182.149,1986.440
154.453,52441.479,182.078,1988.715
154.555,52463.316,182.005,1991.449
154.675,52485.145,181.935,1994.184
154.794,52503.328,181.872,1996.466
154.896,52525.140,181.792,1999.206
155.011,52546.943,181.722,2001.949
155.134,52568.738,181.662,2004.694
155.250,52586.895,181.611,2006.983
155.352,52605.046,181.553,2009.275
155.455,52626.821,181.485,2012.027
155.572,52644.960,181.439,2014.322
155.675,52666.722,181.389,2017.078
155.796,52688.477,181.334,2019.837
155.915,52710.226,181.276,2022.599
156.032,52731.968,181.225,2025.363
156.152,52750.082,181.190,2027.668
156.256,52768.193,181.154,2029.975
156.365,52789.920,181.108,2032.746
156.472,52811.643,181.063,2035.519
156.593,52833.360,181.026,2038.295
156.714,52855.073,180.994,2041.073
156.832,52873.165,180.965,2043.390
156.935,52894.870,180.929,2046.173
157.052,52912.955,180.903,2048.494
157.154,52934.654,180.879,2051.282
157.274,52956.350,180.856,2054.072
157.393,52978.043,180.829,2056.865
157.511,52996.119,180.809,2059.194
157.613,53017.807,180.794,2061.992
157.734,53039.494,180.782,2064.792
157.853,53061.178,180.766,2067.594
157.973,53082.861,180.749,2070.399
158.094,53104.543,180.743,2073.207
158.214,53126.224,180.742,2076.017
158.333,53147.905,180.737,2078.830
158.456,53169.585,180.729,2081.646
158.571,53187.651,180.730,2083.994
158.675,53209.331,180.738,2086.814
158.794,53231.013,180.746,2089.637
158.915,53252.694,180.749,2092.463
159.035,53274.377,180.756,2095.291
159.153,53296.060,180.773,2098.121
159.274,53317.747,180.793,2100.954
159.390,53335.820,180.805,2103.318
159.492,53353.894,180.817,2105.683
159.596,53375.586,180.838,2108.523
159.711,53393.664,180.862,2110.892
159.814,53415.362,180.892,2113.737
159.935,53437.062,180.917,2116.584
160.056,53458.766,180.944,2119.435
160.169,53476.855,180.974,2121.812
160.272,53494.948,181.011,2124.191
160.374,53516.664,181.050,2127.049
160.492,53534.764,181.077,2129.432
160.594,53556.487,181.117,2132.294
160.716,53578.216,181.168,2135.159
160.832,53596.329,181.212,2137.549
160.933,53618.069,181.259,2140.418
161.054,53639.815,181.306,2143.291
161.174,53661.568,181.362,2146.166
161.290,53679.700,181.415,2148.564
161.393,53701.466,181.477,2151.444
161.515,53723.239,181.535,2154.327
161.631,53741.388,181.585,2156.732
161.739,53763.175,181.655,2159.619
161.856,53781.337,181.719,2162.028
161.960,53803.140,181.791,2164.920
162.081,53824.951,181.858,2167.816
162.201,53846.770,181.934,2170.714
162.316,53864.961,182.006,2173.131
162.418,53883.159,182.078,2175.550
162.521,53905.005,182.158,2178.455
162.641,53926.861,182.239,2181.363
162.760,53945.082,182.315,2183.789
162.862,53966.958,182.413,2186.702
162.980,53988.846,182.508,2189.617
163.098,54010.744,182.599,2192.536
163.220,54032.654,182.696,2195.457
163.336,54054.576,182.804,2198.381
163.460,54076.512,182.912,2201.308
163.577,54094.801,182.998,2203.749
163.680,54116.759,183.103,2206.681
163.799,54135.067,183.197,2209.126
163.901,54157.050,183.317,2212.063
164.025,54179.048,183.436,2215.003
164.137,54197.390,183.531,2217.455
164.239,54215.741,183.628,2219.909
164.341,54237.777,183.756,2222.856
164.456,54256.151,183.868,2225.313
164.560,54278.216,183.996,2228.266
164.680,54300.295,184.123,2231.221
164.798,54318.706,184.234,2233.685
164.901,54340.815,184.376,2236.645
165.020,54362.941,184.519,2239.608
165.137,54381.392,184.635,2242.080
165.242,54403.549,184.775,2245.048
165.359,54422.026,184.899,2247.523
165.462,54444.216,185.054,2250.496
165.580,54466.424,185.207,2253.472
165.702,54488.650,185.358,2256.451
165.821,54510.895,185.515,2259.433
165.939,54529.447,185.652,2261.920
166.041,54551.727,185.819,2264.907
166.157,54574.028,185.983,2267.897
166.277,54592.626,186.119,2270.390
166.379,54611.239,186.262,2272.886
166.482,54633.593,186.440,2275.883
166.602,54655.969,186.618,2278.884
166.718,54674.632,186.764,2281.386
166.820,54697.047,186.943,2284.392
166.941,54719.483,187.130,2287.400
167.058,54738.198,187.288,2289.909
167.186,54764.425,187.509,2293.425
167.299,54786.929,187.698,2296.442
167.420,54809.457,187.895,2299.462
167.536,54828.249,188.063,2301.981
167.638,54850.821,188.265,2305.006
167.756,54869.649,188.432,2307.530
167.858,54888.495,188.602,2310.055
167.960,54907.357,188.776,2312.582
168.062,54930.016,188.991,2315.617
168.178,54948.917,189.169,2318.149
168.281,54971.623,189.382,2321.190
168.401,54994.354,189.601,2324.234
168.516,55013.317,189.788,2326.772
168.620,55036.098,190.014,2329.821
168.741,55058.905,190.240,2332.873
168.861,55081.740,190.469,2335.928
168.977,55104.603,190.703,2338.986
169.101,55127.494,190.942,2342.047
169.221,55150.414,191.180,2345.111
